name,type,value,tags,description,read,write
/sys/devices/meter/{index}/p2Kw,float,0,"telemetry,meter",Power in kW for phase 2,ssm_owner,
/sys/devices/meter/{index}/p3phsumKw,float,0,"telemetry,meter",Sum of 3-phase power in kW,ssm_owner,
/sys/devices/meter/{index}/posLtea3phsumKwh,float,0,"telemetry,meter",Positive lifetime sum of 3-phase energy in kWh,ssm_owner,
/sys/devices/meter/{index}/prodMdlNm,str,n/a,"telemetry,meter",Product model name,ssm_owner,
/sys/devices/meter/{index}/q3phsumKvar,float,0,"telemetry,meter",Sum of 3-phase reactive power in kVar,ssm_owner,
/sys/devices/meter/{index}/s3phsumKva,float,0,"telemetry,meter",Sum of 3-phase apparent power in kVA,ssm_owner,
/sys/devices/meter/{index}/sn,str,n/a,"telemetry,meter",Serial number of the meter,ssm_owner,
/sys/devices/meter/{index}/totPfRto,float,0,"telemetry,meter",Total power factor ratio,ssm_owner,
/sys/devices/meter/{index}/v12V,float,0,"telemetry,meter",Voltage between phase 1 and 2 in V,ssm_owner,
/sys/devices/meter/{index}/v1nV,float,0,"telemetry,meter",Voltage between phase 1 and neutral in V,ssm_owner,
/sys/devices/meter/{index}/v2nV,float,0,"telemetry,meter",Voltage between phase 2 and neutral in V,ssm_owner,
/sys/info/active_interface,str,TBD,diag,Current active network interface,ssm_owner,
/sys/info/active_interface_mac,str,TBD,diag,Current active network interface mac address,ssm_owner,
/sys/info/boardtype,str,TBD,diag,PVS Board Type,ssm_owner,
/sys/info/cpu_usage,uint16,0,diag,Current CPU usage in percentage,ssm_owner,
/sys/info/finance_type,str,UNKNOWN,diag,"Finance type for the site that this PVS is running at. Viable values are UNKNOWN, CASH, LEASE, and LOAN",ssm_owner,
/sys/info/flash_usage,uint16,0,diag,Current Flash usage in percentage,ssm_owner,
/sys/info/fwrev,str,TBD,diag,PVS Firmware Revision,ssm_owner,
/sys/info/hwrev,str,TBD,diag,PVS Hardware Revision,ssm_owner,
/sys/info/lmac,str,TBD,diag,LAN0 MAC address,ssm_owner,
/sys/info/model,str,TBD,diag,PVS model number,ssm_owner,
/sys/info/ram_usage,uint16,0,diag,Current RAM usage in percentage,ssm_owner,
/sys/info/serialnum,str,TBD,diag,PVS Serial Number,ssm_owner,
/sys/info/ssid,str,TBD,diag,PVS ssid,ssm_owner,
/sys/info/sw_rev,str,TBD,diag,SPWR Software Revision,ssm_owner,
/sys/info/sys_type,str,Unknown,diag,"system type (PV-only, storage)",ssm_owner,
/sys/info/uptime,str,TBD,diag,PVS uptime,ssm_owner,
/sys/info/wpa_key,str,TBD,diag,PVS wpa key,ssm_owner,
/sys/livedata/backupTimeRemaining,uint32,N/A,livedata,Battery Backup Time Remaining (minutes) (NOT USED),ssm_owner,
/sys/livedata/ess_en,float,N/A,livedata,Battery Energy (kWh) (NOT USED),ssm_owner,
/sys/livedata/ess_p,float,N/A,livedata,Battery Power (kW) (NOT USED),ssm_owner,
/sys/livedata/midstate,int32,N/A,livedata,MID State (NOT USED),ssm_owner,
/sys/livedata/net_en,float,N/A,livedata,Net Consumption Energy (kWh),ssm_owner,
/sys/livedata/net_p,float,N/A,livedata,Net Consumption Power (kW),ssm_owner,
/sys/livedata/pv_en,float,N/A,livedata,Production Energy (kWh),ssm_owner,
/sys/livedata/pv_p,float,N/A,livedata,Production Power (kW),ssm_owner,
/sys/livedata/site_load_en,float,N/A,livedata,Site Load Energy (kWh),ssm_owner,
/sys/livedata/site_load_p,float,N/A,livedata,Site Load Power (kW),ssm_owner,
/sys/livedata/soc,float,N/A,livedata,Battery State of Charge (%) (NOT USED),ssm_owner,
/sys/livedata/time,int64,N/A,livedata,Livedata timestamp,ssm_owner,
/sys/toggle_cell/broadband_connected,uint16,0,"netstats,toggle_cell",toggle_cell broadband connection status,ssm_owner,
/sys/toggle_cell/cell_connected,uint16,0,"netstats,toggle_cell",toggle_cell cell connection status,ssm_owner,
/sys/toggle_cell/low_data_mode,uint32,0,"netstats,toggle_cell",toggle_cell low data mode status,ssm_owner,
